127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/js/jquery.js, HTTP/1.1, 200, 0.000765
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/css/calendar.css, HTTP/1.1, 200, 0.000515
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001155
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/js/web2py.js, HTTP/1.1, 200, 0.001152
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/js/calendar.js, HTTP/1.1, 200, 0.002175
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/js/share.js, HTTP/1.1, 200, 0.001217
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000815
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/images/background.jpg, HTTP/1.1, 200, 0.000321
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000292
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/images/facebook.png, HTTP/1.1, 200, 0.000616
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/images/gplus-32.png, HTTP/1.1, 200, 0.000443
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/images/twitter.png, HTTP/1.1, 200, 0.001570
127.0.0.1, 2016-04-04 22:57:56, GET, /init/static/images/favicon.ico, HTTP/1.1, 200, 0.000320
127.0.0.1, 2016-04-04 22:58:03, GET, /admin/default/design/init, HTTP/1.1, 200, 0.088891
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/default/edit/init/views/default/index.html, HTTP/1.1, 200, 0.197287
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000400
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.000514
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.000344
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000669
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001839
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001985
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001715
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001928
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001915
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002749
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002515
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001525
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.002412
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000983
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002541
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.001594
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001548
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.001818
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001428
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001865
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.001653
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001833
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001913
127.0.0.1, 2016-04-04 22:58:13, GET, /admin/static/_2.14.3/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001697
